viewer_id,subscription_start,subscription_status,months_subscribed,churned_after_show,age_group
V10000,2022-10-02,Active,24,,35-44
V10001,2024-09-01,Active,1,,55+
V10002,2024-09-01,Active,1,,45-54
V10003,2023-10-02,Active,12,,35-44
V10004,2024-04-04,Active,6,,45-54
V10005,2022-10-02,Cancelled,24,,55+
V10006,2024-04-04,Cancelled,6,,35-44
V10007,2023-10-02,Cancelled,12,,25-34
V10008,2024-09-01,Active,1,,18-24
V10009,2024-04-04,Active,6,,25-34
V10010,2024-04-04,Active,6,,18-24
V10011,2022-10-02,Active,24,,18-24
V10012,2024-04-04,Cancelled,6,,25-34
V10013,2024-09-01,Active,1,,35-44
V10014,2024-04-04,Active,6,,35-44
V10015,2021-10-02,Active,36,,25-34
V10016,2023-10-02,Active,12,,25-34
V10017,2024-09-01,Active,1,,55+
V10018,2022-10-02,Active,24,,25-34
V10019,2024-07-03,Active,3,,25-34
V10020,2024-04-04,Active,6,,35-44
V10021,2024-07-03,Paused,3,,35-44
V10022,2024-04-04,Active,6,,25-34
V10023,2024-07-03,Active,3,,45-54
V10024,2024-09-01,Active,1,,18-24
V10025,2024-09-01,Cancelled,1,,35-44
V10026,2024-09-01,Active,1,,25-34
V10027,2024-07-03,Active,3,,25-34
V10028,2023-10-02,Active,12,,18-24
V10029,2024-04-04,Active,6,,35-44
V10030,2022-10-02,Active,24,,25-34
V10031,2024-09-01,Active,1,,18-24
V10032,2024-04-04,Cancelled,6,,35-44
V10033,2023-10-02,Active,12,,35-44
V10034,2022-10-02,Active,24,,55+
V10035,2022-10-02,Active,24,,18-24
V10036,2024-09-01,Active,1,,18-24
V10037,2023-10-02,Active,12,,25-34
V10038,2022-10-02,Active,24,,45-54
V10039,2024-07-03,Active,3,,35-44
V10040,2023-10-02,Cancelled,12,,35-44
V10041,2024-07-03,Active,3,,45-54
V10042,2022-10-02,Paused,24,,25-34
V10043,2024-04-04,Cancelled,6,,25-34
V10044,2022-10-02,Active,24,,45-54
V10045,2023-10-02,Active,12,,55+
V10046,2024-04-04,Cancelled,6,,25-34
V10047,2024-04-04,Active,6,,55+
V10048,2024-09-01,Active,1,,55+
V10049,2021-10-02,Active,36,,35-44
V10050,2024-04-04,Active,6,,25-34
V10051,2023-10-02,Cancelled,12,,45-54
V10052,2024-09-01,Active,1,,18-24
V10053,2024-04-04,Active,6,,45-54
V10054,2024-04-04,Active,6,,18-24
V10055,2023-10-02,Active,12,,18-24
V10056,2024-09-01,Active,1,,18-24
V10057,2022-10-02,Active,24,,18-24
V10058,2024-09-01,Paused,1,,25-34
V10059,2024-04-04,Cancelled,6,,55+
V10060,2023-10-02,Active,12,,18-24
V10061,2023-10-02,Active,12,,25-34
V10062,2022-10-02,Active,24,,25-34
V10063,2024-09-01,Active,1,,18-24
V10064,2024-09-01,Active,1,,35-44
V10065,2023-10-02,Active,12,,55+
V10066,2024-04-04,Active,6,,45-54
V10067,2024-07-03,Paused,3,,18-24
V10068,2021-10-02,Active,36,,45-54
V10069,2024-04-04,Paused,6,,18-24
V10070,2024-04-04,Paused,6,,35-44
V10071,2023-10-02,Active,12,,25-34
V10072,2023-10-02,Active,12,,55+
V10073,2024-09-01,Active,1,,55+
V10074,2022-10-02,Active,24,,35-44
V10075,2024-07-03,Active,3,,25-34
V10076,2024-04-04,Active,6,,18-24
V10077,2021-10-02,Paused,36,,35-44
V10078,2024-04-04,Active,6,,45-54
V10079,2023-10-02,Active,12,,55+
V10080,2022-10-02,Cancelled,24,,35-44
V10081,2024-04-04,Cancelled,6,SH2054,45-54
V10082,2024-04-04,Cancelled,6,,25-34
V10083,2024-04-04,Active,6,,25-34
V10084,2022-10-02,Active,24,,18-24
V10085,2024-09-01,Active,1,,18-24
V10086,2024-09-01,Active,1,,35-44
V10087,2023-10-02,Cancelled,12,,35-44
V10088,2023-10-02,Active,12,,25-34
V10089,2024-07-03,Active,3,,25-34
V10090,2024-07-03,Cancelled,3,SH2030,45-54
V10091,2024-09-01,Active,1,,35-44
V10092,2023-10-02,Active,12,,45-54
V10093,2024-04-04,Active,6,,45-54
V10094,2024-04-04,Active,6,,18-24
V10095,2023-10-02,Active,12,,35-44
V10096,2024-07-03,Active,3,,18-24
V10097,2024-04-04,Active,6,,25-34
V10098,2024-04-04,Cancelled,6,,25-34
V10099,2023-10-02,Active,12,,35-44
V10100,2022-10-02,Cancelled,24,,18-24
V10101,2024-04-04,Active,6,,25-34
V10102,2021-10-02,Active,36,,25-34
V10103,2023-10-02,Active,12,,18-24
V10104,2024-09-01,Active,1,,25-34
V10105,2024-09-01,Active,1,,25-34
V10106,2024-07-03,Cancelled,3,,25-34
V10107,2024-07-03,Active,3,,18-24
V10108,2024-07-03,Active,3,,25-34
V10109,2024-09-01,Active,1,,25-34
V10110,2024-07-03,Active,3,,35-44
V10111,2023-10-02,Active,12,,45-54
V10112,2023-10-02,Active,12,,45-54
V10113,2022-10-02,Active,24,,25-34
V10114,2022-10-02,Active,24,,25-34
V10115,2024-07-03,Active,3,,25-34
V10116,2023-10-02,Active,12,,25-34
V10117,2023-10-02,Active,12,,25-34
V10118,2023-10-02,Cancelled,12,,35-44
V10119,2024-09-01,Active,1,,35-44
V10120,2024-07-03,Active,3,,25-34
V10121,2024-09-01,Active,1,,25-34
V10122,2024-07-03,Active,3,,45-54
V10123,2024-04-04,Active,6,,45-54
V10124,2024-04-04,Active,6,,35-44
V10125,2024-04-04,Active,6,,25-34
V10126,2024-09-01,Active,1,,25-34
V10127,2023-10-02,Active,12,,25-34
V10128,2021-10-02,Active,36,,25-34
V10129,2024-09-01,Active,1,,25-34
