show_id,viewer_id,episodes_started,episodes_completed,total_hours_watched,viewing_month,binge_watched
SH2034,V10000,1,0,0.0,2024-08,False
SH2007,V10000,40,35,20.6,2023-11,False
SH2018,V10000,8,6,3.2,2024-01,True
SH2010,V10000,3,2,1.0,2024-05,False
SH2041,V10001,24,17,11.5,2023-11,False
SH2055,V10001,14,8,4.4,2024-01,True
SH2004,V10001,55,52,29.7,2024-02,True
SH2033,V10001,4,3,1.1,2024-04,True
SH2014,V10001,42,39,26.4,2024-08,False
SH2044,V10001,4,1,0.6,2024-03,False
SH2059,V10001,6,4,1.5,2024-09,True
SH2056,V10001,37,31,24.5,2024-10,True
SH2053,V10001,14,11,5.8,2024-07,False
SH2040,V10001,41,34,24.6,2024-06,False
SH2038,V10001,7,6,2.6,2023-11,True
SH2001,V10001,39,22,10.0,2024-01,True
SH2043,V10001,13,10,7.7,2024-04,False
SH2058,V10002,19,9,7.6,2024-04,False
SH2023,V10002,12,11,5.6,2024-09,True
SH2013,V10002,7,6,2.8,2023-12,False
SH2039,V10002,3,1,0.8,2024-08,False
SH2005,V10002,8,6,2.5,2024-07,True
SH2028,V10002,5,2,1.3,2024-03,False
SH2020,V10002,46,37,32.3,2024-09,False
SH2002,V10002,4,2,1.0,2024-01,False
SH2025,V10002,60,11,5.0,2023-12,False
SH2030,V10002,1,0,0.0,2023-12,False
SH2010,V10002,13,12,9.3,2024-06,False
SH2052,V10002,6,3,2.0,2024-06,False
SH2008,V10002,3,1,0.6,2024-04,False
SH2022,V10002,9,8,5.1,2024-09,True
SH2004,V10003,6,3,1.9,2023-11,False
SH2026,V10003,14,9,7.8,2023-11,True
SH2019,V10003,4,3,1.4,2023-12,False
SH2015,V10003,4,3,1.5,2024-08,False
SH2012,V10003,12,8,6.6,2024-10,True
SH2058,V10003,3,2,1.1,2024-04,False
SH2001,V10003,33,13,10.8,2024-09,True
SH2007,V10003,49,41,14.0,2024-04,False
SH2056,V10003,15,8,4.5,2024-10,True
SH2053,V10003,12,9,6.2,2024-01,True
SH2052,V10003,12,10,5.1,2024-07,False
SH2014,V10003,34,27,10.6,2024-09,False
SH2055,V10003,49,33,10.7,2023-11,True
SH2041,V10004,12,8,6.7,2023-12,False
SH2024,V10004,4,2,1.4,2024-03,False
SH2005,V10004,6,3,1.1,2024-09,False
SH2014,V10004,27,14,11.4,2024-07,True
SH2018,V10004,2,1,0.4,2024-09,False
SH2044,V10004,7,6,2.9,2024-03,False
SH2040,V10004,15,20,2.4,2023-11,False
SH2029,V10004,10,8,6.2,2024-10,False
SH2012,V10004,7,5,2.4,2024-10,False
SH2050,V10004,32,27,13.4,2024-01,False
SH2036,V10004,6,5,1.8,2024-03,False
SH2000,V10004,69,37,23.8,2024-10,True
SH2026,V10004,14,8,3.4,2024-02,False
SH2021,V10005,2,1,0.6,2024-08,False
SH2005,V10005,4,2,1.1,2023-12,False
