neighborhood,population,pct_under_poverty,pct_no_vehicle
Hawthorne,4860,0.292,0.584
Willard-Hay,7092,0.286,0.397
Jordan,8426,0.356,0.45
Near North,6919,0.413,0.356
Camden,4769,0.416,0.632
Folwell,5933,0.138,0.187
McKinley,3959,0.181,0.151
Victory,6404,0.149,0.272
Webber-Camden,-4200,0.125,0.345
Shingle Creek,5306,0.166,0.307
Phillips,8658,0.338,0.645
Powderhorn,5028,0.125,0.272
Longfellow,5568,0.165,0.153
Seward,4100,0.217,0.312
Corcoran,6324,0.122,0.196
Standish,5639,1.34,0.174
Ericsson,6056,0.203,0.185
Howe,6652,0.146,0.283
Hiawatha,6573,0.163,0.192
Cooper,7343,0.138,0.344
Downtown,4777,0.208,0.549
North Loop,2995,0.228,0.68
Cedar-Riverside,3955,0.177,1.08
Elliot Park,7273,0.153,0.228
Stevens Square,3837,0.174,0.267
Loring Park,5764,0.148,0.259
Marcy-Holmes,6612,0.15,0.183
Uptown,5568,0.084,0.104
Lowry Hill,4495,0.031,0.104
East Calhoun,3391,0.081,0.173
,5296,0.213,0.28
Lynnhurst,6599,0.206,0.275
Linden Hills,5977,0.037,0.124
Fulton,4751,0.077,0.151
Armatage,6273,0.209,0.244
Kenny,6160,0.217,0.32
Windom,4528,0.176,0.304
Northeast,4370,0.124,0.292
Bottineau,5381,0.123,0.172
Holland,7146,0.21,0.245
Logan Park,4520,0.171,0.332
Waite Park,6978,0.18,0.258
Frogtown,8636,0.303,0.373
Summit-University,5222,0.189,0.326
West Side,6729,0.436,0.54
Payne-Phalen,6693,0.355,0.416
Dayton's Bluff,5363,0.455,0.512
Highland Park,4529,0.039,0.123
Macalester-Groveland,5237,0.038,0.107
Como,5680,0.087,0.183
Hawthorne,4100,0.28,0.42
