store_id,name,type,neighborhood,price_tier,hours_open_weekly,hours_close,lat,lon
S1000,Kowalski's,Supermarket,Summit-University,1,119,24,44.9401,-93.3089
S1001,Kowalski's,Supermarket,Cooper,3,84,22,44.9288,-93.2674
S1002,Lunds & Byerlys,Supermarket,Downtown,2,84,21,45.0055,-93.3048
S1003,Cub Foods,Supermarket,Downtown,2,168,21,44.922,-93.2033
S1004,Cub Foods,Supermarket,Windom,2,98,24,44.9661,-93.2447
S1005,Hy-Vee,Supermarket,,2,140,24,44.8997,-93.2882
S1006,Hy-Vee,Supermarket,Shingle Creek,3,84,21,45.008,-93.2842
S1007,Fresh Thyme,Supermarket,Phillips,2,98,23,44.993,-93.2944
S1008,Hy-Vee,Supermarket,Elliot Park,2,168,22,44.9674,-93.3156
S1009,Cub Foods,Supermarket,West Side,2,168,22,44.9711,-93.2371
S1010,Kowalski's,Supermarket,Dayton's Bluff,3,119,24,44.9174,-93.3155
S1011,Lunds & Byerlys,Supermarket,Downtown,2,112,23,45.0096,-93.2048
S1012,Cub Foods,Supermarket,Seward,5,140,24,44.9319,-93.2384
S1013,Hy-Vee,Supermarket,Northeast,3,119,22,44.9001,-93.3174
S1014,Cub Foods,Supermarket,Holland,1,98,22,44.9696,-93.3393
S1015,Fresh Thyme,Supermarket,Holland,2,126,24,44.9169,-93.2403
S1016,Kowalski's,Supermarket,Stevens Square,1,112,22,44.9689,-93.2604
S1017,Fresh Thyme,Supermarket,Marcy-Holmes,2,126,22,44.9484,-93.2131
S1018,Hy-Vee,Supermarket,Northeast,2,112,24,44.9703,-93.219
S1019,Cub Foods,Supermarket,Holland,2,140,21,44.8952,-93.2008
S1020,Kowalski's,Supermarket,Phillips,2,140,21,44.9797,-93.2066
S1021,Kowalski's,Supermarket,Kenny,2,168,21,45.0076,-93.3295
S1022,Lunds & Byerlys,Supermarket,Victory,2,140,24,44.9568,-93.2089
S1023,Lunds & Byerlys,Supermarket,Windom,2,-48,21,44.9205,-93.2987
S1024,Fresh Thyme,Supermarket,Highland Park,2,126,24,44.9256,-93.2812
S1025,Cub Foods,Supermarket,Powderhorn,1,140,24,44.9653,-93.3128
S1026,Hy-Vee,Supermarket,Hiawatha,2,168,23,44.9964,-93.3361
S1027,Kowalski's,Supermarket,Marcy-Holmes,2,98,22,44.9459,-93.264
S1028,Cub Foods,Supermarket,Marcy-Holmes,2,119,21,44.8945,-93.2248
S1029,Fresh Thyme,Supermarket,Northeast,2,140,21,44.9226,-93.2049
S1030,Hy-Vee,Supermarket,Windom,1,126,22,44.9394,-93.2421
S1031,Kowalski's,Supermarket,Dayton's Bluff,2,168,22,44.9854,-93.3021
S1032,Lunds & Byerlys,Supermarket,Waite Park,2,126,21,45.0055,-93.223
S1033,Lunds & Byerlys,Supermarket,Jordan,1,126,21,44.9188,-93.3269
S1034,Fresh Thyme,Supermarket,Jordan,2,180,23,44.9785,-93.2624
