stop_id,neighborhood,headway_minutes,evening_service,weekend_service,distance_to_store
T5000,Hawthorne,26.5,True,True,0.61
T5001,Hawthorne,24.9,True,True,0.53
T5002,Hawthorne,25.4,True,True,0.4
T5003,Hawthorne,24.8,False,True,0.46
T5004,Hawthorne,23.2,True,True,0.6
T5005,Willard-Hay,25.7,False,True,0.32
T5006,Willard-Hay,27.2,False,True,0.45
T5007,Willard-Hay,28.8,False,True,0.29
T5008,Willard-Hay,26.2,True,True,0.46
T5009,Willard-Hay,28.2,True,True,0.44
T5010,Willard-Hay,27.1,True,True,0.32
T5011,Willard-Hay,29.3,True,True,0.41
T5012,Jordan,22.1,True,True,0.59
T5013,Jordan,24.8,False,True,0.59
T5014,Jordan,21.4,False,True,0.73
T5015,Jordan,21.6,True,False,0.58
T5016,Jordan,26.7,True,True,0.6
T5017,Jordan,22.3,True,True,0.77
T5018,Jordan,22.6,True,True,0.72
T5019,Jordan,22.5,True,True,0.76
T5020,Jordan,23.7,False,True,0.78
T5021,Jordan,24.1,True,True,0.79
T5022,Near North,17.1,False,True,0.38
T5023,Near North,17.6,True,True,0.43
T5024,Near North,15.2,True,True,0.51
T5025,,14.6,True,True,0.52
T5026,Near North,14.5,True,False,0.46
T5027,Near North,15.3,True,True,0.32
T5028,Near North,17.5,False,True,0.29
T5029,Camden,23.0,True,True,0.58
T5030,Camden,20.5,True,False,0.58
T5031,Camden,23.2,False,False,0.59
T5032,Camden,25.2,True,True,0.49
T5033,Camden,21.2,True,True,0.52
T5034,Camden,23.4,True,True,0.61
T5035,Folwell,20.8,True,True,0.7
T5036,Folwell,16.9,False,True,0.56
T5037,Folwell,16.2,True,True,0.54
T5038,Folwell,19.1,False,False,0.59
T5039,Folwell,17.7,True,True,0.55
T5040,Folwell,17.3,True,True,0.64
T5041,Folwell,18.3,False,True,0.56
T5042,McKinley,30.4,True,True,0.59
T5043,McKinley,26.6,True,True,0.53
T5044,McKinley,25.9,False,True,0.6
T5045,McKinley,26.1,True,False,0.46
T5046,McKinley,25.7,True,True,0.54
T5047,Victory,32.6,True,True,0.94
T5048,Victory,36.3,False,True,0.97
T5049,Webber-Camden,28.0,True,True,0.5
T5050,Webber-Camden,-12.5,True,True,0.39
T5051,Webber-Camden,28.1,True,True,0.44
T5052,Webber-Camden,27.5,True,True,0.51
T5053,Webber-Camden,31.3,True,True,0.55
T5054,Webber-Camden,27.3,True,True,0.52
T5055,Shingle Creek,27.9,True,True,0.92
T5056,Shingle Creek,29.3,False,True,0.99
T5057,Phillips,16.6,True,True,0.46
T5058,Phillips,20.5,False,True,0.34
T5059,Phillips,16.1,True,True,0.44
T5060,Phillips,19.8,True,True,0.47
T5061,Phillips,16.5,True,False,0.43
T5062,Phillips,20.7,True,True,0.32
T5063,Phillips,16.1,False,True,0.45
T5064,Phillips,19.2,False,False,0.38
