id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2441,https://www.airbnb.com/rooms/2441,20250621143203,2025-06-22,previous scrape,"Cozy Artist’s Abode! NE Minneapolis, Pets, Wifi","**Please send a message of inquiry (scroll down to ""contact host"") before requesting dates. So appreciated! <br /><br />Make my home your homebase while you check out all Mpls offers. My home is in a prime part of NE Mpls!  Home to artists, lots of new craft breweries & pub crawls, ethnic eating strip, retro shops, cafes, live music, parks ! Location Location! Quick drive to downtown, U of M, and all the major freeways, very centrally located. A comfortable place to lay your head between activities.","The area: <br />     Welcome to NE Minneapolis! Coming to town to tour our incredible NE Minneapolis breweries? Or for theater, farmers markets, or our great local Arts events? A business convention?  Or to visit nearby relatives? NE Minneapolis is a convenient, centrally located, yet safe, residential spot for your homebase. It's artsy, quaint, and full of neighborhood bars and restaurants, many of them with acclaimed chefs and locally raised ingredients!  Pub crawls are very popular in NE because it's so easy to walk from one bar to the next, and each has its own individual flavor. :)  My house happens to be just over a century old, though you wouldn't know it from looking at it, it does retain some of that great old character.<br /><br />The neighborhood is all residential with sidewalks, though a short, 1.5 block walk to restaurants and major grocery store, Target, etc.  There is a large park with wading pool, tennis courts, soccer/ice skating just one block from the house. Freeway",https://a0.muscache.com/pictures/514b9a70-c353-4284-b496-3ea79fecd15c.jpg,2680,https://www.airbnb.com/users/show/2680,Emily,2008-09-02,"Minneapolis, MN","Hi, I'm Emily! I’ve been hosting on Airbnb since 2008, when it began! I have worked to make my home a comfortable place for guests and appreciate the great interactions and friendships I have made. My house is colorful, eclectic, retro/boho. It’s a cheerful place and I love to use color and artwork to express happy feelings. I love to paint, cook and garden - hopefully you get a chance to enjoy the back garden! 

I live in the Arts District of NE Minneapolis, a quaint area of Minneapolis. The Windom park neighborhood of “Nordeast” is a quiet, residential neighborhood with sidewalks. Nearby there are lots of things to keep you busy; a park with wading pool, a water park with miniature golf, tennis courts, bike and walking paths. Just 2 blocks away are; Target, Cub Foods grocery store, gift shops, coffee shops, and many others for everything you may need. 

In the house you will find a welcome book with a list of many nearby restaurants within walking distance, lots of breweries, sights to see and other details on the house. I hope to host you comfortably during your stay in Minneapolis!",within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/82e5bf44-7b59-4897-98ec-4434c07e1fce.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/82e5bf44-7b59-4897-98ec-4434c07e1fce.jpg?aki_policy=profile_x_medium,Windom Park,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Hennepin,,45.00862,-93.23424,Entire home,Entire home/apt,5,,1 bath,1,,"[""Essentials"", ""TV with standard cable"", ""Wifi"", ""Hangers"", ""Baby safety gates"", ""Free street parking"", ""Luggage dropoff allowed"", ""Single level home"", ""Long term stays allowed"", ""Iron"", ""Microwave"", ""Cooking basics"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Dedicated workspace"", ""Heating"", ""Stove"", ""Kitchen"", ""Private entrance"", ""Free parking on premises"", ""Hair dryer"", ""Pets allowed"", ""Smoke alarm"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Shampoo"", ""Shared patio or balcony"", ""Self check-in"", ""Carbon monoxide alarm"", ""Bathtub"", ""Window AC unit"", ""Exterior security cameras on property"", ""Keypad"", ""Refrigerator"", ""Room-darkening shades"", ""First aid kit"", ""BBQ grill"", ""Hot water""]",,2,28,1,2,28,28,1.3,28.0,,t,0,0,0,0,2025-06-22,315,3,0,0,4,18,,2009-10-18,2024-07-21,4.79,4.79,4.7,4.92,4.93,4.81,4.7,STR-111974,f,2,2,0,0,1.65
4534,https://www.airbnb.com/rooms/4534,20250621143203,2025-06-21,city scrape,"Charming, 1 or 2BR + private bath, near downtown","Welcome to our home; quiet, clean and welcoming. Close to the Minneapolis Lakes, in a quiet neighborhood, with easy access to main roads, and public transportation.<br />Please note: 2nd bedroom has an additional small charge (ask the  host how to reserve it)<br />Kitchen is vegetarian and limited to fridge, microwave, tea/coffee maker and light meal prep. <br />We have a very friendly (but shedding) dog and a perfume-free environment. <br />Please confirm that all those are OK w/you.<br /><br /><br /><br />Me fre","We are located in a friendly, safe, quiet suburb of Minneapolis, very close to a large water park, the famous ""Lakes"", Uptown, Downtown, shopping and entertainment.  Also, near a bus line and 2 bike paths.  <br /><br />We are very close to several food stores :Trader Joe’s, Whole Foods, Byerly’s, Cub Foods and Target.",https://a0.muscache.com/pictures/1235366/76e34d1e_original.jpg,5811,https://www.airbnb.com/users/show/5811,Rachel,2008-12-30,"Minneapolis, MN","Well traveled. 
School social worker (now retired)
Love meeting people from all over the world. 

Languages spoken in the house are: English and Hebrew .

Welcome. ברוכים הבאים.",within a few hours,100%,64%,t,https://a0.muscache.com/im/users/5811/profile_pic/1403955335/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5811/profile_pic/1403955335/original.jpg?aki_policy=profile_x_medium,Sorenson,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Hennepin,,44.94549,-93.35586,Private room in home,Private room,5,1.0,1 private bath,2,2,"[""Books and reading material"", ""Essentials"", ""Piano"", ""Wifi"", ""Backyard"", ""Hangers"", ""Free street parking"", ""Indoor fireplace"", ""Single level home"", ""Iron"", ""Hammock"", ""Coffee"", ""Ping pong table"", ""Microwave"", ""Washer"", ""Coffee maker"", ""Bed linens"", ""Dishes and silverware"", ""TV"", ""Portable fans"", ""Fire extinguisher"", ""Dedicated workspace"", ""Outdoor furniture"", ""Toaster"", ""Hot water kettle"", ""Garden view"", ""Heating"", ""Freezer"", ""Kitchen"", ""Host greets you"", ""Free parking on premises"", ""Hair dryer"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Dining table"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Dryer"", ""Air conditioning"", ""Outdoor dining area"", ""Refrigerator"", ""Room-darkening shades"", ""First aid kit"", ""Hot water""]",$56.00,2,30,2,2,30,30,2.0,30.0,,t,21,51,76,351,2025-06-21,233,12,0,180,13,72,4032,2010-06-05,2024-12-01,4.89,4.93,4.92,4.93,4.94,4.88,4.92,,f,2,1,1,0,1.27
27319,https://www.airbnb.com/rooms/27319,20250621143203,2025-06-22,city scrape,"Parks, Lakes, Downtown, Light rail",,,https://a0.muscache.com/pictures/airflow/Hosting-27319/original/6dfd7b8f-2130-4c4d-9a17-dc48e5c5db31.jpg,117283,https://www.airbnb.com/users/show/117283,Keith,2010-05-02,"Minneapolis, MN","Personable, creative, and down to earth. By day, I train disabled individuals on the daily operations of a digital imaging and copy center. I am also a semi-pro musician (currently writing music for a play to be featured at the reputable Jungle Theater). Very open to meeting new people!  ",within a day,100%,92%,t,https://a0.muscache.com/im/pictures/user/631f2433-89cf-4cf5-b686-658d498da43d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/631f2433-89cf-4cf5-b686-658d498da43d.jpg?aki_policy=profile_x_medium,Ericsson,2,2,"['email', 'phone']",t,t,,Hennepin,,44.92016,-93.22899,Private room in home,Private room,3,1.0,1 shared bath,2,2,"[""Essentials"", ""Wifi"", ""Backyard"", ""Hangers"", ""Free street parking"", ""Iron"", ""Cooking basics"", ""Coffee maker"", ""Bed linens"", ""Dishes and silverware"", ""Patio or balcony"", ""TV"", ""Lake access"", ""Heating"", ""Stove"", ""Kitchen"", ""Host greets you"", ""Free parking on premises"", ""Hair dryer"", ""Pets allowed"", ""Smoke alarm"", ""Oven"", ""Shampoo"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Refrigerator"", ""Microwave"", ""Hot water""]",$56.00,2,60,2,2,60,60,2.0,60.0,,t,16,25,49,320,2025-06-22,201,15,1,148,10,90,5040,2010-10-04,2025-05-26,4.79,4.84,4.75,4.94,4.93,4.87,4.88,Exempt,f,2,0,2,0,1.12
82439,https://www.airbnb.com/rooms/82439,20250621143203,2025-06-21,city scrape,Rest and Rehearsal Space,,,https://a0.muscache.com/pictures/8941585/fecc8757_original.jpg,117283,https://www.airbnb.com/users/show/117283,Keith,2010-05-02,"Minneapolis, MN","Personable, creative, and down to earth. By day, I train disabled individuals on the daily operations of a digital imaging and copy center. I am also a semi-pro musician (currently writing music for a play to be featured at the reputable Jungle Theater). Very open to meeting new people!  ",within a day,100%,92%,t,https://a0.muscache.com/im/pictures/user/631f2433-89cf-4cf5-b686-658d498da43d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/631f2433-89cf-4cf5-b686-658d498da43d.jpg?aki_policy=profile_x_medium,Ericsson,2,2,"['email', 'phone']",t,t,,Hennepin,,44.91995,-93.23011,Private room in home,Private room,3,1.0,1 private bath,2,2,"[""Heating"", ""Essentials"", ""Kitchen"", ""Wifi"", ""Free parking on premises"", ""TV"", ""Air conditioning""]",$59.00,2,60,2,2,60,60,2.0,60.0,,t,7,17,41,311,2025-06-21,76,11,0,140,12,66,3894,2011-07-13,2025-05-12,4.95,4.88,4.83,4.96,4.92,4.93,4.92,Exempt,f,2,0,2,0,0.45
141571,https://www.airbnb.com/rooms/141571,20250621143203,2025-06-21,city scrape,"Private Bedroom U.of Minnesota,  Saint Paul Campus","Comfortable bedroom in cute house in walking distance to the Saint Paul Campus,  U of MN.",,https://a0.muscache.com/pictures/895290/0061680d_original.jpg,688403,https://www.airbnb.com/users/show/688403,Delia,2011-06-11,"St Paul, MN","I was born in Buenos Aires, Argentina, Speak Spanish and English, some French and some Hebrew, have 3 children and 5 grand children, love playing tennis, dancing, bicycling and walking, adore the Opera and music of all kinds.",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/688403/profile_pic/1377226395/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/688403/profile_pic/1377226395/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone', 'work_email']",t,t,,Ramsey,,44.97637,-93.18993,Private room in home,Private room,2,1.0,1 bath,1,1,"[""Heating"", ""Air conditioning"", ""Kitchen"", ""Wifi""]",$68.00,2,730,2,2,730,730,2.0,730.0,,t,29,59,89,364,2025-06-21,1,0,0,193,0,0,0,2011-07-23,2011-07-23,3.0,4.0,3.0,5.0,5.0,5.0,4.0,,f,3,0,3,0,0.01
166024,https://www.airbnb.com/rooms/166024,20250621143203,2025-06-21,city scrape,Luxury 5500 Sq ft  Executive Home,"Spacious 5 Bedroom, Gourmet Kitchen, Sun Room, Game Room with Pool Table, Arcade Games, Electronic Dart Board, Large Screen TV's.  Great Bar, 3 Fireplaces and multiple Office Spaces to keep up with work.  Decks, Fire Pit, 3 Car Garage and spaces for privacy even with a crowd.","This is a family neighborhood with large lots, oak trees, safe and quite.  Close to parks, lakes, restaurants and entertainment.",https://a0.muscache.com/pictures/de19434b-4908-4cab-8532-b3e166ebf33c.jpg,746911,https://www.airbnb.com/users/show/746911,Marcel,2011-06-26,"Golden Valley, MN","Hello, please enjoy my home.  It is very comfortable and great for large families or groups.  All the beds are King and Queen with bathrooms for everyone.  I recently added pack & plays and high chairs so bring the little ones without having to pack all the gear!   I also have obtained a portable ramp if any of my guests are in walkers or wheelchairs.  Just let me know and it will be set up prior to your arrival.",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/309921a7-a00c-4801-a02e-784a224def87.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/309921a7-a00c-4801-a02e-784a224def87.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Hennepin,,44.98274,-93.36458,Entire home,Entire home/apt,12,4.0,4 baths,5,5,"[""Costco  conditioner"", ""Shower gel"", ""Essentials"", ""Sound system"", ""Exercise equipment"", ""Central heating"", ""Central air conditioning"", ""Wifi"", ""Hangers"", ""BBQ grill: charcoal, gas"", ""Ceiling fan"", ""Stainless steel oven"", ""85 inch HDTV with Amazon Prime Video, Netflix, premium cable, Roku, standard cable, DVD player"", ""Free street parking"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In building"", ""Cleaning products"", ""Long term stays allowed"", ""Iron"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Room-darkening shades"", ""Board games"", ""Bed linens"", ""Indoor fireplace: gas, wood-burning"", ""Dishes and silverware"", ""Pool table"", ""Private backyard \u2013 Not fully fenced"", ""Beach essentials"", ""Portable fans"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Dedicated workspace"", ""Wine glasses"", ""Outdoor furniture"", ""High chair"", ""Toaster"", ""Hot water kettle"", ""Freezer"", ""Smart lock"", ""Kitchen"", ""Free washer \u2013 In building"", ""Fireplace guards"", ""Baking sheet"", ""Private entrance"", ""Free parking on premises"", ""Hair dryer"", ""Pets allowed"", ""Fire pit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Dining table"", ""Shampoo"", ""Game console: Nintendo Wii"", ""Arcade games"", ""Self check-in"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Bathtub"", ""Barbecue utensils"", ""Pack \u2019n play/Travel crib"", ""Private patio or balcony"", ""Costco  body soap"", ""Dishwasher"", ""GE induction stove"", ""Theme room"", ""Outdoor dining area"", ""Refrigerator"", ""Clothing storage: walk-in closet, closet, and dresser"", ""First aid kit"", ""Hot water""]",$458.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,9,21,35,286,2025-06-21,94,29,2,116,31,174,79692,2021-02-25,2025-06-15,4.99,4.95,4.96,5.0,5.0,4.98,4.95,,f,1,1,0,0,1.79
176709,https://www.airbnb.com/rooms/176709,20250621143203,2025-06-21,city scrape,"Private Bedroom, Walk to Saint Paul Campus!","The house is located within walking distance to the Saint Paul Campus of the University of Minnesota and 5 miles away from the Minneapolis Campus and the Super Bowl Stadium. The Sate Fair Grounds,  the Emily Program headquarters and buildings, the Lutheran Seminary are all within walking distance.  Bus stops to the mall, or the downtowns are within walking distance too!  and the neighbourhood is very safe and quiet.","Saint Anthony Park is a very quiet, safe neighbourhood.  Centrally located between the 2 downtowns of Minneapolis and Saint Paul, its streets are crime free.  You can bike and play sports in its many parks, where tennis and basketball courts are available for free.",https://a0.muscache.com/pictures/1124838/d2669a1c_original.jpg,688403,https://www.airbnb.com/users/show/688403,Delia,2011-06-11,"St Paul, MN","I was born in Buenos Aires, Argentina, Speak Spanish and English, some French and some Hebrew, have 3 children and 5 grand children, love playing tennis, dancing, bicycling and walking, adore the Opera and music of all kinds.",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/688403/profile_pic/1377226395/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/688403/profile_pic/1377226395/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ramsey,,44.97483,-93.19141,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Essentials"", ""Wifi"", ""Hangers"", ""Free street parking"", ""Iron"", ""Washer"", ""Patio or balcony"", ""Dedicated workspace"", ""Heating"", ""Kitchen"", ""Host greets you"", ""Free parking on premises"", ""Hair dryer"", ""Smoke alarm"", ""Shampoo"", ""Private hot tub"", ""Dryer"", ""Air conditioning"", ""Refrigerator"", ""Hot water""]",$85.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,29,59,89,364,2025-06-21,35,2,0,193,2,12,1020,2013-05-01,2024-11-05,4.91,4.94,4.86,4.85,4.94,4.85,4.88,20180004569,f,3,0,3,0,0.24
178017,https://www.airbnb.com/rooms/178017,20250621143203,2025-06-21,city scrape,Powderhorn home - sleeps four,This is our home that we rent out when we are out of town. It's a simple cozy house in the city.,,https://a0.muscache.com/pictures/miso/Hosting-178017/original/dbef1db3-7623-4ce6-810c-ba7758f44a01.jpeg,540710,https://www.airbnb.com/users/show/540710,Leticia,2011-04-27,"Minneapolis, MN","We live in Minneapolis. I am a teacher and my husband is a carpenter. Check us out on airbnb, we are also hosts.",within an hour,100%,67%,f,https://a0.muscache.com/im/pictures/user/User/original/38737e1d-3200-4230-b442-7297ac03afc0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/38737e1d-3200-4230-b442-7297ac03afc0.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Hennepin,,44.9436,-93.24872,Entire home,Entire home/apt,4,1.0,1 bath,1,2,"[""Essentials"", ""Bread maker"", ""Wifi"", ""Hangers"", ""Free street parking"", ""Iron"", ""Microwave"", ""Cooking basics"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Outdoor furniture"", ""Heating"", ""Stove"", ""Kitchen"", ""Baking sheet"", ""Lockbox"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Fire pit"", ""Smoke alarm"", ""Free dryer"", ""Oven"", ""Extra pillows and blankets"", ""Shared backyard \u2013 Not fully fenced"", ""Shampoo"", ""Self check-in"", ""Carbon monoxide alarm"", ""Bathtub"", ""Window AC unit"", ""Outdoor dining area"", ""Refrigerator"", ""First aid kit"", ""BBQ grill"", ""Hot water""]",$64.00,30,1125,4,30,1125,1125,29.6,1125.0,,t,1,1,1,172,2025-06-21,28,1,0,1,1,60,3840,2014-11-24,2024-12-29,4.79,4.86,4.46,4.71,4.75,4.82,4.71,STR-400618,f,1,1,0,0,0.22
198551,https://www.airbnb.com/rooms/198551,20250621143203,2025-06-22,previous scrape,Urban Cyclist's Dream/Global Market,"If you love bicycling, walking, or the city, you'll love it here!  Our home overlooks the Midtown Greenway, an old 1882 rail>to>trail connecting the Mississippi River to 5 lakes and the 100 year old Grand Rounds National Scenic Byway 50+ mile trail system, nominated for inclusion on the National Register of Historic Places featuring lakes, woodlands, wetlands, playgrounds, golf courses, and  historic bridges.  So come see why ""Mary Tyler-Moore"" was set in this beautiful 'City of Lakes' :0)",An urban setting with the Midtown Global Market and the Midtown Greenway create a uniquely diverse community full of life in the city of lakes. Our townhouse/condo overlooks the Midtown Greenway and is connected to the Midtown Global Market where Sears began in 1905.,https://a0.muscache.com/pictures/1690779/e1873464_original.jpg,966845,https://www.airbnb.com/users/show/966845,Dan & Debby,2011-08-13,"Minneapolis, MN","My wife and I grew up in Minneapolis and now live back here after spending some time in NYC.  We consider Minneapolis the ""Mini-Apple"".  We love the city and feel blessed to live in 2 of the greatest!   

Both of us work for a non-profit organizaton that assists churches/ministries that reach out to the poor and marginalized of the inner cities of America.   

We enjoy many outdoor activities like biking, skiing, walking/running, etc. but most of all, connecting with people. Many of those things happen right outside our door!

We have 3 children that have all graduated from high school.  One just graduated from college and one is just entering college.  So proud of them!

We hope you will enjoy our city as much as we do!!
Be still,
Dan (& Debby)",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/966845/profile_pic/1338353759/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/966845/profile_pic/1338353759/original.jpg?aki_policy=profile_x_medium,Midtown Phillips,1,3,"['email', 'phone']",t,t,Neighborhood highlights,Hennepin,,44.94991683959961,-93.2590560913086,Entire condo,Entire home/apt,5,,1.5 baths,2,,"[""Books and reading material"", ""Shower gel"", ""Essentials"", ""Exercise equipment: free weights, yoga mat"", ""Wifi"", ""Central air conditioning"", ""Hangers"", ""Free street parking"", ""Luggage dropoff allowed"", ""Body soap"", ""Park view"", ""Cleaning products"", ""Clothing storage: walk-in closet and closet"", ""Long term stays allowed"", ""Iron"", ""Coffee"", ""Private backyard \u2013 Fully fenced"", ""Microwave"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Bed linens"", ""Dishes and silverware"", ""Elevator"", ""Paid parking garage on premises \u2013 50 spaces"", ""Portable fans"", ""Fire extinguisher"", ""Wine glasses"", ""Outdoor furniture"", ""High chair"", ""Crib"", ""Toaster"", ""Coffee maker: espresso machine, Nespresso"", ""Heating"", ""Freezer"", ""Rice maker"", ""Kitchen"", ""Private entrance"", ""Baking sheet"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Oven"", ""60 inch HDTV with Apple TV, Fire TV, Roku, DVD player"", ""Extra pillows and blankets"", ""Dining table"", ""Blender"", ""Shampoo"", ""Self check-in"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Bathtub"", ""Barbecue utensils"", ""Private patio or balcony"", ""BBQ grill: gas"", ""Dishwasher"", ""Conditioner"", ""Exterior security cameras on property"", ""Dryer"", ""Gas stove"", ""Outdoor dining area"", ""Keypad"", ""Refrigerator"", ""Room-darkening shades"", ""First aid kit"", ""Hot water""]",,30,30,30,30,30,30,30.0,30.0,,t,0,0,0,0,2025-06-22,5,0,0,0,0,0,,2011-09-06,2013-03-01,5.0,5.0,5.0,5.0,5.0,4.4,4.6,,f,1,1,0,0,0.03
236978,https://www.airbnb.com/rooms/236978,20250621143203,2025-06-22,city scrape,The Sunny Room 2nd Floor Bedroom Shared Bath,"Smallish 2nd floor bedroom with south facing window. Shared bath. Twin bed with good quality mattress.  Small refrig for food storage. Small closet with hangers. Table for a desk with lamp and folding chair. Window AC (seasonal). Roku TV with streaming apps and over the air stations. USB plugins and wireless charging pad. Room darkening blinds. Singles only, no additional guests. Light alcohol use. No smoking/vaping. Access is up a full flight of stairs with double hand rails. On street parking.","Quiet suburban neighborhood.  City park less than 1 block away with room to walk and run during the non-snow seasons.  Several shopping areas 1-3 miles away.  Includes Wal-Mart, Target, Costco, Menards, grocery stores, restaurants and many others.  You could walk there, but it's safer to take a car with the busy roads.",https://a0.muscache.com/pictures/212e29f8-0edb-49f5-90f0-02e00b8ec796.jpg,227787,https://www.airbnb.com/users/show/227787,Andrew James,2010-09-08,"Andover, MN",60ish  couple with reduced energy left after launching the kids.  We spend winters in Australia. But we wouldn't miss a Minnesota summer.  So from May 'till November you can stay in a spare bedroom of our large home.  We love to garden in the summer (flowers & veggies) and watch PBS and movies in the evening.  Riding the trails on our e-bikes gets us out and about. We would love to have you as our short-term guest.,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/25a9a372-24af-4455-96ff-a343c7d778a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/25a9a372-24af-4455-96ff-a343c7d778a3.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Anoka,,45.21587,-93.35446,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Shower gel"", ""Essentials"", ""Coffee maker: Keurig coffee machine"", ""Central heating"", ""Wifi"", ""Hangers"", ""Ceiling fan"", ""Free street parking"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In building"", ""Body soap"", ""Clothing storage: closet and dresser"", ""Iron"", ""Lock on bedroom door"", ""Coffee"", ""Microwave"", ""Bed linens"", ""GE stainless steel single oven"", ""Fire extinguisher"", ""Dedicated workspace"", ""Toaster"", ""Rice maker"", ""32 inch HDTV with Roku"", ""Kitchen"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Smoke alarm"", ""GE stainless steel gas stove"", ""Extra pillows and blankets"", ""Shampoo"", ""Self check-in"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Bathtub"", ""Barbecue utensils"", ""Window AC unit"", ""Conditioner"", ""Keypad"", ""First aid kit"", ""BBQ grill"", ""Hot water""]",$39.00,1,21,1,1,1125,1125,1.0,1125.0,,t,0,20,31,71,2025-06-22,82,16,3,71,18,96,3744,2012-07-03,2025-06-20,4.93,4.96,4.94,4.96,4.99,4.88,4.91,,f,2,0,2,0,0.52
